,state,month_number,new_cases
280,CO,35,36501
281,CO,36,22731
282,CO,37,11473
283,CO,38,12325
284,CO,39,13288
285,CO,40,7314
286,CO,41,2289
287,CT,1,0
288,CT,2,0
289,CT,3,1205
290,CT,4,26602
291,CT,5,14390
292,CT,6,3716
293,CT,7,3627
294,CT,8,2680
295,CT,9,5330
296,CT,10,11577
297,CT,11,40025
298,CT,12,74511
299,CT,13,63676
300,CT,14,28366
301,CT,15,33581
302,CT,16,29183
303,CT,17,8511
304,CT,18,2373
305,CT,19,4152
306,CT,20,15627
307,CT,21,21048
308,CT,22,11536
309,CT,23,14857
310,CT,24,85911
311,CT,25,191077
312,CT,26,34279
313,CT,27,11297
314,CT,28,16834
315,CT,29,44535
316,CT,30,30111
317,CT,31,21225
318,CT,32,24175
319,CT,33,17182
320,CT,34,16454
321,CT,35,15683
322,CT,36,19684
323,CT,37,18685
324,CT,38,9882
325,CT,39,5580
326,CT,40,2334
327,CT,41,834
328,DC,1,0
329,DC,2,0
330,DC,3,231
331,DC,4,3875
332,DC,5,4300
333,DC,6,1722
334,DC,7,1871
335,DC,8,1723
336,DC,9,1604
337,DC,10,1647
338,DC,11,3543
339,DC,12,8242
340,DC,13,7107
341,DC,14,4078
342,DC,15,4570
343,DC,16,3020
344,DC,17,1289
345,DC,18,533
346,DC,19,913
347,DC,20,3888
348,DC,21,6840
349,DC,22,2994
350,DC,23,2520
351,DC,24,25535
352,DC,25,37434
353,DC,26,4635
354,DC,27,2484
355,DC,28,5345
356,DC,29,6327
357,DC,30,8287
358,DC,31,5541
359,DC,32,4068
360,DC,33,2193
361,DC,34,1350
362,DC,35,1899
363,DC,36,2402
364,DC,37,2002
365,DC,38,1492
366,DC,39,858
367,DC,40,385
368,DC,41,157
369,DE,1,5
370,DE,2,8
371,DE,3,154
372,DE,4,4690
373,DE,5,4412
374,DE,6,1868
375,DE,7,3865
376,DE,8,2045
377,DE,9,3615
378,DE,10,3782
379,DE,11,8944
380,DE,12,24294
381,DE,13,19378
382,DE,14,9402
383,DE,15,8321
384,DE,16,8593
385,DE,17,3799
386,DE,18,1149
387,DE,19,1268
388,DE,20,6802
389,DE,21,14825
390,DE,22,10283
391,DE,23,8300
392,DE,24,26461
393,DE,25,68064
394,DE,26,10651
395,DE,27,2692
396,DE,28,3952
397,DE,29,12423
398,DE,30,10823
399,DE,31,8433
400,DE,32,9590
401,DE,33,5430
402,DE,34,4191
403,DE,35,4230
404,DE,36,5163
405,DE,37,5287
406,DE,38,3715
407,DE,39,1974
408,DE,40,677
409,DE,41,214
410,FL,1,0
411,FL,2,0
412,FL,3,388
413,FL,4,28535
414,FL,5,18895
415,FL,6,38425
416,FL,7,308691
417,FL,8,186402
418,FL,9,99852
419,FL,10,75185
420,FL,11,148984
421,FL,12,328505
422,FL,13,361582
423,FL,14,224584
424,FL,15,174874
425,FL,16,161188
426,FL,17,109312
427,FL,18,62023
428,FL,19,158888
429,FL,20,552660
430,FL,21,516519
431,FL,22,100095
432,FL,23,46838
433,FL,24,197854
434,FL,25,1405673
435,FL,26,469393
436,FL,27,66669
437,FL,28,57770
438,FL,29,158978
439,FL,30,360759
440,FL,31,296165
441,FL,32,282150
442,FL,33,107967
443,FL,34,42558
444,FL,35,58675
445,FL,36,86281
446,FL,37,106869
447,FL,38,71587
448,FL,39,53843
449,FL,40,32708
450,FL,41,13958
451,FSM,1,0
452,FSM,2,0
453,FSM,3,0
454,FSM,4,0
455,FSM,5,0
456,FSM,6,0
457,FSM,7,0
458,FSM,8,0
459,FSM,9,0
460,FSM,10,0
461,FSM,11,0
462,FSM,12,0
463,FSM,13,1
464,FSM,14,0
465,FSM,15,0
